userid,score
008220643c,65.0
01e1a47706,72.5
04a7b30978,85.71428571428571
09df3c3c7d,95.0
0b00e4f75a,82.5
0e4ffda0ac,85.0
0ef725e1bd,87.5
1208f516b0,82.85714285714286
12b7488048,77.5
14d2bfd144,85.0
1669b8dce6,82.5
1cdb5c5017,80.0
23109440e3,65.71428571428571
2387218049,75.0
239a4f0e79,70.0
24c435548a,77.5
268aeb0397,80.0
286384ab09,82.5
2aae148fbc,85.0
2cefa7ab6d,60.0
2e5d217c6c,72.5
3084699fe6,82.5
3591463a0f,68.57142857142857
35df095263,77.14285714285714
393d4b26dd,77.5
3bdbdcce19,70.0
3d3195f84f,72.5
3e37f3b6be,77.5
407bcbc574,85.0
40efc73d62,85.0
44768108ff,67.5
4583efecc8,67.5
49c190331a,87.5
4b39f297fe,82.85714285714286
4bb0b59ffa,80.0
4cde7cbe0f,82.5
4d45d02ca0,53.33333333333333
5171b316cd,71.42857142857143
51dc4b9b61,80.0
52211fd2d4,70.0
52c3812866,74.28571428571429
54e918d80f,75.0
56639f60af,63.33333333333333
59886d55e6,77.14285714285714
631bcefb34,70.0
6432be3a12,90.0
652ea8f699,77.5
6bf0cc8570,80.0
7114df5f79,75.0
732de4fc6b,90.0
73966aba59,82.5
750be8d424,80.0
7719b35d7f,85.0
7bfc6f4ecc,62.5
7dc7509679,77.5
7f432a1a15,77.5
80a397b4bc,87.5
83e7240b4a,60.0
85d554e33a,80.0
862534fd56,62.5
86cb0781ac,67.5
8d3f1f4fc8,82.5
90f4443e20,75.0
95641eb7cc,77.5
967c9951d1,85.0
9aa78a187a,77.14285714285714
9b5e9e4c1e,85.0
9fcbde792b,65.0
a76447b2dd,65.0
a8e3525a95,77.5
af630a8427,80.0
b0100617ad,82.85714285714286
b1fcf542ee,85.0
b35dc0f8b8,65.0
b3a1b5bd55,72.5
b6adb930a7,75.0
b8949ad86c,90.0
b8ac81e0f4,85.0
b8f7c7955d,82.85714285714286
bdd5d57a52,85.0
be0ff9d5c4,87.5
c1ab533a18,74.28571428571429
c1edcccc9b,80.0
c2be0eb1e9,72.5
c419d47e0f,77.5
c440504b49,82.5
c4eea0ca5b,67.5
c5193ba22f,77.5
c53b80a269,80.0
c7cf35b134,75.0
c959d4c31b,75.0
cefda00e7d,77.5
d05917ac48,67.5
d07652dd88,77.5
d089feb6e8,90.0
d3677392c3,85.0
d41ab70809,100.0
d50c5a8e32,92.5
d58563a9e0,92.5
d5e84c6cbd,85.0
d6a097e847,75.0
d6ceed51e3,90.0
d83a171ab0,77.5
da11a5220f,85.0
da7ae9cb63,82.5
dc0fb9d795,80.0
dc6afeea1b,52.5
dd7a972876,70.0
de5ed549e1,82.85714285714286
e1220b2656,82.5
e2bdd2aa7b,87.5
e2dfccff92,83.33333333333334
e35fb89fe9,57.5
e57042fe94,82.5
ea7349e4db,70.0
eda5dd38f7,85.0
ee08a955f0,88.57142857142858
eee92c2ad5,65.0
f2fe6b1e40,90.0
f3d995b228,80.0
f4c7d1fd6a,82.5
f5b1ba9a2b,82.5
f8090ab833,90.0
f8cc276f81,92.5
f9a030ffa5,82.5
fa1810ec39,86.66666666666666
fa3adc8930,100.0
fac18ae164,77.5
fac8cfb059,95.0
fb63e9eb06,75.0
fb9d5075e1,72.5
fbc7ba65e1,65.0
fc98ae1f4e,77.5
feb4fce29d,90.0
