userid,score
05884a4088,92.5
06ae7ac2bd,75.0
0ab312a6af,95.0
0ac701e700,90.0
0b6c9cff63,67.5
0d094291a6,82.85714285714286
12205b02e1,90.0
12dc1dc035,77.5
1448e70a17,80.0
1748b400f3,70.0
1a3b9aa708,80.0
1a5d8b218a,82.5
1b65b5d22a,87.5
2522c99d8f,90.0
265b3af2c8,87.5
26b68d2bea,87.5
2af3f831b2,82.5
2b81191125,92.5
2c095d3a11,75.0
2fefce8716,80.0
31f199b9c7,87.5
33bcfdee3d,75.0
3425526498,90.0
3b64c0bf6e,87.5
3c6b84f7fe,87.5
3dc322fdc6,80.0
3f2f2e62d9,92.5
3f5bf50eae,97.5
422d9c9081,85.0
4518023486,82.5
451d2e23a6,85.0
46c046ba63,92.5
47244ee7ac,85.0
4e6ec682bb,80.0
52034c03d1,87.5
529bbf6acd,90.0
52c7c482a4,92.5
537984853e,75.0
582b5f46c9,90.0
5bfc8fb8f2,95.0
5de565850b,80.0
5e4be04b16,80.0
5f393f5768,95.0
6150507a47,90.0
61a6258412,92.5
67fad5b809,91.42857142857142
69a020a81c,87.5
6a03bd6943,75.0
6a24ba1aa6,80.0
6a2fecc7c4,87.5
6a432a6f16,77.5
6b6e137f7d,85.0
6c57aa8d4a,80.0
7187fd7c99,87.5
71f328acaf,87.5
74f4c3f4c1,85.0
755a3e87a4,90.0
75e077d242,85.0
7678546cd8,77.5
774ea6171a,80.0
78c9203e4c,85.0
7dbeb36a99,75.0
80d7b4adaa,95.0
83cec17f3f,72.5
841faef373,80.0
84c8eb517d,90.0
8540f97b27,71.42857142857143
85d904d4b8,75.0
86d0890582,90.0
897991861e,77.5
8c8b169223,87.5
8e4904417e,87.5
8f936f948f,90.0
948904576d,82.5
960247b4dc,85.0
97bb91ed3d,90.0
981d0443cf,77.5
9ddc65fbce,80.0
9ec648798b,85.0
9faaadca6b,92.5
a12e21915f,75.0
a559ab0545,92.5
a81f0cd032,82.5
a941199627,85.0
b0856d555f,90.0
b0c9c18f13,82.5
b29732fac6,90.0
b33b3e02bc,80.0
b4256fb09a,75.0
b4872b5343,90.0
b51c82f8da,75.0
b9380d6458,82.5
bb278a9f38,77.5
bb2889f9aa,95.0
bf6158a706,85.0
c3c0acc72e,90.0
c570f3b9ab,92.5
cc06407e7b,97.5
d0cadf8c4e,82.5
d15c0d78be,85.0
d20ff50812,90.0
d226cbe9f2,87.5
d37675798d,85.0
d3cbdc1cdd,92.5
d4b222b31f,75.0
d84ac1183d,92.5
d9f48a38d5,95.0
da760e1510,87.5
de43cfb63c,90.0
df216a1779,70.0
df25797e41,72.5
dfed3a9ff1,90.0
e160de3271,77.5
e1da5f2a2e,77.5
e1eb9028cd,90.0
e27a03ef53,87.5
e32fec0174,75.0
e5e5007fea,85.0
e63dad19f9,77.14285714285714
e7cfffaee3,92.5
e7db77bd02,87.5
eaf0aeb6fc,87.5
edb5408f37,85.0
ee5931199b,80.0
ef5c9ac131,95.0
f0993618bd,82.5
f117ac1b9f,90.0
f62f53b0d2,97.5
fc166976dc,88.57142857142858
fdc64a3f41,85.0
fe11667972,87.5
febd5bae62,82.5
