userid,score
00a4daec75,94.28571428571429
013b9038d6,90.0
0c56718360,77.14285714285714
0d231c6139,75.0
0d9bbec788,72.5
0de132b081,85.0
0f26021048,87.5
12cbe43d23,75.0
15183f5bd7,90.0
15579530e8,90.0
17c76ac0ed,82.5
18368e8b1b,82.5
1ba8eeb671,85.0
1d52bb4918,87.5
21effbc9af,82.5
223de9c185,82.5
22d781188f,90.0
24de716353,67.5
25071730a2,85.0
2a2077c1eb,77.14285714285714
2a67a4870e,85.0
2c30f9bce2,82.5
31265b3f06,87.5
3162ef6eca,85.0
3598080427,87.5
3601e7d615,80.0
374ff9d9b8,82.5
3bc1d76086,90.0
3d38969e3b,92.5
3da5647b4b,94.28571428571429
401f272c0a,92.5
422e928139,92.5
44e65a2ea1,77.5
45d3c6b4e7,85.0
4924893a6b,77.5
494524b563,80.0
4df9881542,80.0
510a855823,90.0
5194072011,80.0
56fc5ca122,85.0
5749739184,75.0
57d0e976ba,85.0
5910c8a6ec,67.5
59a56c0fc5,90.0
59f1cf97ea,92.5
5e43ba4115,82.5
5fd6dc656e,87.5
63f55a9a49,90.0
664b98ba46,77.5
71861b510e,72.5
74693c6335,90.0
751cdb805a,90.0
7788d8b3d8,77.5
7ef2d90b00,85.0
80a2d2a090,72.5
81e2f4c9f9,90.0
834abf9c09,90.0
842eaad6f7,82.5
8614e6b19e,95.0
8650950e33,82.5
88331e2e4a,90.0
8eec25823d,85.0
8f58c9c553,92.5
97030c1218,92.5
9afad34269,92.5
9c56805d5c,90.0
9d5f311378,86.66666666666666
a00e49d353,87.5
a1839c7619,92.5
a5018cf1c4,87.5
a5a64a21ca,92.5
a6d58ab047,67.5
ab1357565b,80.0
ad6b623a60,87.5
aeeb8c7691,88.57142857142858
b46f93dfa8,80.0
b71e209247,80.0
c1dc119916,92.5
c37e55f155,85.0
c3b110d1f1,85.0
c486939cc6,82.5
c4d7900dfb,82.5
c81a9db16d,92.5
c8cd70a2c4,90.0
c999b0d13a,90.0
c9efcca29e,85.0
caf807d7dc,80.0
cfdecec57c,80.0
d008b24eeb,80.0
d2d933be1d,87.5
d5cd24c101,90.0
d6ae85863e,82.5
db64d8c37b,80.0
e04f00c9e3,82.5
e1202434d6,70.0
e430c1555f,90.0
e50cdc0579,92.5
e77ce9809b,82.5
e8424c4021,85.0
e8ae0faea3,92.5
eaf3e9558c,85.0
ecf4b1240b,87.5
ed0062e95e,82.5
ef98960a38,75.0
f302bd031a,82.5
f4363920a5,90.0
f43c80303e,75.0
f4bd0f887d,75.0
f5f2b55ace,87.5
f6931890f0,87.5
fa574d3d6f,87.5
ff2c076d94,82.5
ff38d015e3,80.0
