userid,score
0029e65adb,70.0
0161b0c258,72.5
033f249bba,80.0
038e37d939,90.0
0600acf156,75.0
08fd22a139,85.0
090656af11,82.5
0987e525b2,85.0
0a67b75a1c,85.0
0ba2633b2c,82.5
0d81506700,95.0
11332766cc,75.0
1164d89d65,82.5
146f284002,82.5
18aa2cd63a,90.0
18ec3a4e63,95.0
1af6a07679,90.0
1d99018737,87.5
1f94d84d08,82.5
20f433c010,82.5
24ad3b1e9b,70.0
26a5f3a5a7,73.33333333333333
277e485a47,80.0
287a5200a7,88.57142857142858
2b8f4c2801,70.0
2bf23adf08,90.0
2e9825b4cd,90.0
31860cc7c4,82.5
32ecf76d9d,65.0
37c82535d7,71.42857142857143
386a12fb42,77.5
3cdda4a665,82.5
3e9b2688f9,85.0
3f0ad7dba0,82.5
417deb12d4,87.5
418c759d73,85.0
43e9c5c108,82.5
43f0bf3c02,85.71428571428571
44fb4a761e,90.0
45becd4c94,75.0
494fd2e184,97.5
4d77d4d8ad,85.0
4f87d2ed7c,77.14285714285714
502ef02485,85.0
561e973589,92.0
5802f52a4c,92.5
5a2f20efde,85.0
5a41088ddd,82.5
5c79d8c5eb,87.5
5d3cf4ebd1,87.5
61e32b8949,87.5
6543018a36,67.5
6760ebdeb4,54.28571428571429
6d797d4e59,67.5
6e28cb5012,95.0
6ec7d8ca2d,92.5
6ffff9b73c,70.0
70a3eecba0,80.0
7123a49f1c,70.0
739f0efd53,82.5
73c7e6273b,72.5
7534168974,66.66666666666667
76cc474586,80.0
7872f16044,80.0
7a8699d6c6,85.71428571428571
7abc0ceab2,57.142857142857146
7c4056f0b4,62.5
7d4b8da91f,90.0
7d6c7c1bd4,80.0
805f58840f,57.142857142857146
8085c7343a,82.5
821bbcc8a4,92.5
83bd03ed16,90.0
85dcb64708,82.5
898a88bf9e,92.5
8a26450cd7,77.5
8a6b631308,85.0
8e278954db,82.5
945a9e13ad,72.5
94fea5f7e4,85.0
9669adb6ef,82.5
98f0fcde6f,80.0
a2968de8e3,72.5
a44f449769,77.5
a7736508b9,82.5
a7c79c7511,82.5
aac9d1ff0a,72.5
ac89a8ad58,87.5
accf9ae97e,87.5
ad60659158,77.5
ada333464d,87.5
ada633de8c,92.5
af3f5094bf,77.5
b3919ee4a6,80.0
b967877534,85.0
bacc04738c,87.5
bad4990bef,50.0
bc79107c08,65.0
bdf59c694d,80.0
bec1309046,87.5
c02eba872a,80.0
c08ac797bd,80.0
c1a7e75550,90.0
c50203d859,92.5
c6fbe74b10,82.5
c8e0f459c9,77.5
c8e2ceeace,77.5
d0efcce8b0,85.0
d1b6d6a9fe,87.5
d289f39122,87.5
d51c610507,90.0
d6770512a1,87.5
d90b15ba33,87.5
db9764be4b,75.0
dfad33770d,75.0
e129dc023d,90.0
e346e2a97f,87.5
e5e20f72f5,74.28571428571429
e7519f50df,92.5
e8aee5ef15,75.0
ec06a8163b,75.0
ecd6317b6e,82.5
ee0f2a6563,77.5
f12f5a8955,92.5
f38340d6a3,75.0
f38539bdd7,85.0
fa36db920f,85.0
febcebf894,80.0
