userid,score
0073a3bd27,83.33333333333334
0266cb134e,80.0
02fb79dd93,87.5
040cc93344,77.5
0442f25693,77.5
04ff229e76,85.0
07bd07ceff,75.0
0987aff09b,95.0
0a2db173b8,76.66666666666667
0d5319af96,82.5
127695d776,90.0
13afee0e36,90.0
1424865a16,92.5
1a0e70517d,92.5
1f7ea83dfe,90.0
20309ecbf7,85.0
2160714d9a,87.5
21f1688628,80.0
25f749facc,80.0
268e4e0c4b,85.0
2cd8e3b2bf,85.0
2e7e6044e1,87.5
2faf19ba18,90.0
323f3bf2c6,96.0
36dd3cbdd9,80.0
3ecaccf77d,80.0
3f31e3d99f,75.0
420f058d47,90.0
44b58c42fd,94.28571428571429
44dfd3443f,93.33333333333334
465733fd31,87.5
47a3fb648b,82.5
49df12ad82,82.5
4a049ff6c4,80.0
4afe95fd05,77.5
4bb6cdb5c7,90.0
4ca2b85826,87.5
4d5fa6b04b,95.0
51cc90eab0,80.0
51fcd5a919,85.0
532ff78c60,85.0
55eafd8318,77.5
5650ad95a9,95.0
58d4435e8c,82.85714285714286
5d3d4aabf5,75.0
624b316beb,85.0
637a6c82ca,85.0
639717a77f,92.5
66b82cb3a2,87.5
6787928065,85.0
6800969771,95.0
6969392033,85.0
6a252597b1,88.57142857142858
6a2bbea55b,82.5
6af0b61c7b,87.5
6bf5f0837c,85.0
6e59c5af59,85.0
73856db05f,87.5
766e939ccd,87.5
77c30f1d58,90.0
8478bb806d,87.5
858252a7de,87.5
898096bea3,74.28571428571429
8dadb4efde,77.5
8efeb67af8,85.0
901bce7bc2,82.5
91a430f363,97.5
9385f4b0cf,90.0
955f1aa294,77.5
9b3367a7a1,62.5
9ce2c0cd23,87.5
9e1c47267c,75.0
9eab3286ab,85.0
a5a355b92d,87.5
a718fe3086,85.0
aae276a276,92.5
ab1a03a853,77.5
b0c732c065,92.5
b2eea57636,80.0
b2f4462763,95.0
b399d237bb,75.0
b75e1acde8,80.0
bb9b36542b,94.28571428571429
bcc61d934e,90.0
befc8c3ad0,80.0
bfcf30d5e3,97.5
c26a47a2a8,94.28571428571429
c3ff2fddf8,87.5
c665e10952,82.5
c9deed9f14,80.0
cc735e4de0,77.5
cd6cd79b60,85.0
cf6548d566,87.5
d0b7971404,82.5
d0bbebd3ff,82.5
d0e26a7035,85.71428571428571
d167da1493,85.0
d3d5bab7c6,87.5
da94990045,87.5
db0f4b05cf,90.0
dd3c4d7ec5,85.0
e7b64e7da3,97.5
ea8bad103a,80.0
eb22cf65e9,85.0
efed72fcec,82.5
f168738a3d,80.0
f1b2c736b2,88.57142857142858
f2bd91ed2e,85.0
f84095f9df,87.5
f8510429e8,82.5
f95060ca00,80.0
fb5c3491ec,80.0
fbdea8a3de,85.0
fd28066eb6,92.5
fe8e59f3a4,70.0
ff7ce5c81d,82.5
ffc4c1dda0,65.71428571428571
ffd2faa0c9,75.0
