userid,score
025655df13,87.5
03011fe71a,85.0
04458441d3,85.0
0bd63b1e9f,72.5
0fcb106c8a,82.5
1242a1011a,80.0
12498e6a06,75.0
15bef4c428,82.85714285714286
16326d5e54,85.0
1734cb9a85,90.0
19f1632479,92.5
1ca1dbe6e5,72.5
1d0959129b,72.5
1d74294a10,77.5
1e217ee4cb,87.5
2380bbeabe,87.5
259661b9c1,77.5
29137cf6b4,87.5
29e1607351,97.5
2d654e0dc3,87.5
2daefff794,72.5
2e10a42253,72.5
2f8c7d4b44,82.5
31a455b712,82.5
31e35ab92b,80.0
33b14476ba,80.0
38f400afff,85.0
39b32f6d44,85.0
3b097d3a65,85.0
3b41e721c3,82.5
3db6475953,80.0
3e0138d84d,90.0
3f14f0674d,90.0
404a6154d2,75.0
41b4600a56,82.5
42b072c68b,82.5
43b6f62bdd,68.57142857142857
446d792f4d,82.5
4619b7d3ff,80.0
4635eec700,94.28571428571429
464a4d2f6c,90.0
483ad19db7,80.0
485ad2d112,87.5
49350eb17a,77.5
4a234de2e1,95.0
4b2a05ff33,87.5
4cd5032954,90.0
4d664b40ba,77.5
4e4b63206b,72.5
4eb49f65f2,85.0
505ce48906,90.0
5158019cb4,82.5
51d7bf40d9,82.5
52c59ee7da,87.5
53d04b3180,80.0
546b98043f,77.5
558829a989,80.0
58dfb193b3,90.0
5914ba2cf5,82.5
5a46d113ef,85.0
5ce8a672d3,87.5
5f8095c36c,80.0
60b6382186,80.0
63f85638dd,82.5
673de868ae,92.5
6953bd3125,80.0
6c5d63b4a9,80.0
6d9fce4dec,90.0
6dab830dd4,85.0
6e24375a96,77.5
6fe08bddfc,82.5
744f63ee82,82.5
74ebbd51e6,70.0
7504f537fb,85.0
755b8698b8,80.0
78f077da11,85.0
7fd0aab5af,85.0
8076d1d419,77.5
82b43d262a,80.0
82e3479b5a,80.0
8430551741,90.0
8846d465bd,72.5
88d827d79c,90.0
8a1b19b6f0,85.0
8b2c90dbf3,80.0
8d69050eac,80.0
8f168a0e7d,82.5
9163c3027e,90.0
92fb204c56,90.0
947e706019,92.5
967692f87f,87.5
9b577005e9,82.5
a130b49e5a,90.0
a2fcc4590a,90.0
a580eb449a,90.0
a99b7e2e9e,92.5
abd89e5075,80.0
aed5ede461,87.5
b03c7da753,90.0
b118a62d93,90.0
b2b7ee7e56,82.5
b4c46774b0,82.5
b5c656ccf3,90.0
b6e606fa97,85.71428571428571
b7f75bd07d,82.5
b93fd8b0fe,77.5
ba5cc6c94c,82.5
bd78c6c332,77.5
c32409b6e1,85.0
c3ca312527,92.5
c4793b814b,87.5
c92cfcb623,82.85714285714286
c976ca3c65,82.5
ce5319d5db,75.0
ce7d2f42fe,95.0
cf72e81e6d,80.0
d0a10cb59e,77.5
d0ecbd9f5e,85.0
d324eb8bc0,70.0
d502b717e1,72.5
d8744e2d10,85.0
d9377e6cd2,75.0
d96ca608a5,82.5
da0b27248f,88.57142857142858
dbf1c0f18d,76.66666666666667
e113a8b8f5,85.0
edbacb3c28,77.5
f088d806ea,85.0
f1919f0dfd,72.5
f33ac910b7,90.0
f3b0296acf,80.0
f86f67bb9a,82.85714285714286
f9dc7888b7,82.5
faa0cd9e1a,92.5
fc06c49fdb,72.5
fe45c48ffd,80.0
