userid,score
01fcd92f4f,87.5
02e643909e,82.5
04d67345d3,97.5
06391dd1cd,97.14285714285714
068276f1ec,90.0
082cadf73f,90.0
0b6fa211a3,87.5
0cb14271b3,92.5
112c0aec27,97.5
1227758738,85.0
133a53601f,95.0
158f27af24,97.5
18daf21ec5,85.0
190e2b2a9c,87.5
1a32a6a274,87.5
1a88bec841,90.0
1bc9a8258c,90.0
1c82772a92,92.5
1c90bc8d6f,90.0
1eb3efbb64,90.0
20205c035a,77.5
20f1d801fc,87.5
2535a566d0,82.85714285714286
25cb2792a9,82.5
27c6e14da9,92.5
2929806867,90.0
2d55248f72,85.0
2e74e16715,87.5
2e8f6d6336,90.0
2ef47927db,85.71428571428571
2f5e582996,82.5
301f4dc8e5,90.0
3501e31bad,82.5
3b98ea2dea,90.0
3da48d98ae,92.5
3ee39e5259,92.5
4004c1df79,95.0
41004a4394,92.5
41d8ecb051,92.5
41f034df4b,90.0
44bfcaebda,95.0
44f04dc79a,87.5
47f639245c,88.57142857142858
4a64733cd8,90.0
4b6055ac25,90.0
4d3b3d11ac,85.0
4e007c00b5,90.0
520e60d215,77.5
5342ba749a,85.0
53891c29e3,85.71428571428571
55d744beff,80.0
569ec77023,90.0
570aecd561,87.5
575c08c303,85.0
579b1164e6,87.5
590fc1830e,92.5
5ac2cf1452,87.5
5df97dacb6,72.5
5f1cf439da,85.0
5fbb45d60a,95.0
606eb10b2b,85.0
64a7c6d488,82.5
6734443964,95.0
6846bf4ec1,97.5
68fed7ce0c,80.0
6dcd916d7e,82.5
6e4feb0ee4,92.5
7311408bd9,85.0
76d0817705,87.5
7a9486bade,95.0
7d14d6beb0,87.5
7d5527a57b,95.0
83869cf88d,91.42857142857142
88def4c344,92.5
8a3ae0e682,85.71428571428571
8c18d62777,90.0
8de5a6b496,90.0
8ed31cdd3e,87.5
921939cec6,87.5
9386bfa582,90.0
93e6cdae8c,95.0
9783005378,90.0
98ed5643f2,82.5
995852e3d5,92.5
9a2c32b62a,87.5
9c2cb05903,87.5
9f9e5a1e12,87.5
a144740a7e,85.0
a17c6e5634,82.5
a21cda7ad3,90.0
a287458c4d,87.5
a436ac3db4,91.42857142857142
a4464bdf8d,71.42857142857143
a86a88a3f4,80.0
aabcaac394,90.0
ac6753dd40,85.0
b0bf39137a,90.0
b1b0e7b89d,95.0
b267f7b846,87.5
b4360dcd96,77.5
b55837e270,85.0
b55bad0859,85.0
b656c90bd0,92.5
b6add6bb34,72.5
b7bb9ee697,95.0
b89475d898,90.0
ba97a6646e,82.85714285714286
badf40f8a4,90.0
be2f81bea2,85.0
c57a20c60c,87.5
c7a3c57bee,90.0
c8cb0d4533,92.5
cc3d1776a4,87.5
cda2d525fa,92.5
d25e9fa10c,85.0
d3cc4385c8,82.5
d5f43f1767,85.71428571428571
d8701b0636,82.5
d88d332786,85.0
d9b7dccbed,95.0
da4fd247d7,90.0
de28307a1a,80.0
e67910ab87,88.57142857142858
e6e7615e16,95.0
e9554e9604,97.5
ebe088b651,100.0
ed1c6c8e19,90.0
ed7448096e,75.0
ed9672d632,92.5
f1d0659d97,92.5
f24ffeb0a5,87.5
f3c8c26b63,90.0
f3c924f3a5,90.0
f451e6c042,90.0
f57bccb7ae,87.5
f7e69a807f,92.5
f9698ffdc1,85.0
ff6378ee7d,87.5
ffc7507cdd,87.5
