userid,score
00a182f084,87.5
02775201aa,85.0
040d8d962e,80.0
05ee6325f8,96.66666666666666
083a6476bf,87.5
09f882094d,87.5
0d0161086d,85.0
0d7bf42078,82.5
12247c71a1,87.5
14766c6e4d,92.5
14f790995a,90.0
15c525ee4e,95.0
1a9bbb6dfb,92.5
1ad9510c99,75.0
1deb931302,90.0
1ed7ebe780,62.5
20809cfae7,87.5
21104a0f26,80.0
2202d1907c,92.5
226e42ca2c,82.5
227f835e4f,87.5
22f2468fc6,87.5
22fcca7005,85.0
23e944a374,90.0
24d943cc1a,88.57142857142858
25cabe2dd3,82.5
26f0415805,90.0
2b81843da6,97.5
2cd5a7489b,94.28571428571429
2d9d299640,97.5
2fad064f77,85.0
303c860fe2,92.5
31914b7a32,95.0
325c8d51f0,87.5
36e455cd51,87.5
38384e2d37,80.0
38f0045555,92.5
39c80239af,92.5
3aeb1a69bf,82.5
3b9730b6cb,75.0
3c0d45ac78,80.0
3c4df04bd8,85.0
3d9c8d1155,82.5
3df9965ab4,87.5
3e5c88707d,95.0
3f83be20ed,85.0
3fd1386ea0,87.5
426baf052b,90.0
4387945cb9,80.0
4406f36706,85.0
4728cae0ef,90.0
4741120268,67.5
47607ad13f,72.5
49877c2323,92.5
4a06758780,90.0
4a0917507b,90.0
4a8e1e46ed,90.0
51436913cb,80.0
53f512b28a,95.0
570998747f,87.5
5823ea5505,72.5
58b710e1e5,92.5
593503a06f,82.5
5a9ad513b9,87.5
5d375ee648,95.0
6106af11d0,90.0
61157b6138,95.0
62ef52ed09,95.0
6376d1b009,90.0
6621bf35ea,85.71428571428571
6ab4ae6d3f,80.0
6ac02ad844,95.0
6b3f71f5da,80.0
6bb0886272,85.0
6e42d19961,80.0
732547826f,75.0
74c3bfa742,85.0
77c9ee7ae5,90.0
7aafdbadd6,75.0
7bef3fb0fe,80.0
820acdd621,90.0
820de255d6,85.0
848f869f4a,92.5
8563a1d878,92.5
891306ce07,90.0
896e94762e,90.0
8fc3e704f0,95.0
90f191a985,85.0
92ac47e751,92.5
93e9917db9,87.5
94e10b58f2,97.14285714285714
9655819602,80.0
969fc406e8,92.5
97fc8e767a,80.0
99d3741b15,95.0
9b58d8a227,77.5
9bb56def8c,92.5
9ccccdca13,90.0
9d2c03b57b,82.85714285714286
9e2be0cfcc,85.0
a32e7a7bf2,95.0
a49ffa076d,95.0
a5d44cdcf7,88.57142857142858
a7c0867464,75.0
ab56629525,95.0
b26af38ac6,90.0
b366efec28,85.0
b4cca8a0d2,87.5
b8ae6c8a10,87.5
b8d80c0173,90.0
ba61a3407b,87.5
bc0c7ab322,90.0
bc5fce30ba,90.0
be5a6cc163,80.0
c296255014,92.5
c32272ca4c,92.5
c3386282f7,90.0
c5a0ee19fc,85.71428571428571
c6717d6e2b,72.5
c7f074950b,87.5
c8b9547044,77.5
c93265f5e0,95.0
c93cbd90cd,85.71428571428571
ca60835f2d,87.5
cb3755bfeb,77.5
cd19d6dc39,87.5
cda13e88bb,90.0
ce0b9bc2e2,90.0
ce428bcc0f,85.0
ce54383f58,87.5
d103aa38bc,82.5
d20be28179,96.66666666666666
d2441ef106,77.5
d66bb5a8f2,90.0
db46ec6952,85.0
dba9a712a2,92.5
dcfa2855e5,90.0
de623bda27,85.0
e1911a0ece,97.5
e1cdce7602,80.0
e62a3dce9c,87.5
e7248d6541,85.0
e77ac3b90b,92.5
e7d113cfff,90.0
e9c8de969e,90.0
eaf44c7516,92.5
ebf3ab3efc,70.0
ec6bae1365,90.0
ed3909a965,85.0
edf506b63c,86.66666666666666
f33bda40ad,72.5
f4fbdd9992,87.5
f53fed014a,82.5
f609c9b6a5,75.0
f8a4d7d7f8,67.5
f8d67d34f9,82.5
fa00ce7d53,95.0
fb340c55b8,95.0
fd57b6bf96,85.71428571428571
