userid,score
039c00f462,87.5
042c2a65c3,85.0
06c99c5d5b,82.5
075ee2bea6,80.0
09dde054f8,82.5
0c19fe4366,82.85714285714286
18463fc1d9,62.5
1f14e70ffb,90.0
2214fa5614,80.0
22652a7a53,60.0
2290d95050,85.0
24573129f2,67.5
25313d6f68,80.0
26477ad7a6,82.5
275aa8a4f0,70.0
2bcc90ed1d,87.5
2cc9ade554,97.5
2d038f63f7,80.0
2f7a383fe4,82.5
319973e175,92.5
34c9d4bd68,88.57142857142858
35c02a84b8,82.5
3804d85068,75.0
384e13cba3,87.5
39dca52129,62.5
3a8de9f620,90.0
3be61785b8,65.0
3dd3aa71ac,92.5
3e69bcf728,75.0
3edf649d00,87.5
4561273bd2,82.5
4765e2ffc3,82.5
4ade902d18,85.0
4c2fde2de2,80.0
4e2474f166,87.5
4fa1370bd6,85.0
503a8535b1,92.5
50a4dc5a8f,75.0
51421e80c3,82.5
54c76fb647,92.5
5787ec2fbc,72.5
591955b725,85.0
5c6b2f770a,90.0
5e3c2d7e34,77.14285714285714
5f37378f7a,80.0
60e5933711,85.71428571428571
6139aa5103,70.0
616ee0fe9d,87.5
645a30085e,74.28571428571429
64f1d531ba,85.0
6bcc475575,72.5
6c04eb27b1,80.0
6f0d3a4d21,95.0
722e8bf929,85.0
74ae1d1d46,77.5
769a61319b,82.85714285714286
7748878c40,63.33333333333333
782f236a8c,85.0
791d928e4d,85.0
7b2b2acc5c,62.5
7f3ba59767,97.5
815f201d7f,75.0
820e9098f1,82.5
8220b2b901,77.14285714285714
82d62220c8,85.0
8687b6e4d3,85.0
896cff165a,80.0
89dc3d75e4,82.5
8aa6dd98f0,90.0
8ae452a0b9,80.0
8ee33002dc,95.0
905b5753c9,80.0
91648e8dc8,92.5
9472704175,86.66666666666666
99387fc09a,85.0
9941a929c6,87.5
9b013ff5e6,87.5
9d00827aa1,87.5
9eef01ce81,57.142857142857146
9efc8eb011,77.5
a03574f5c9,97.5
a09db5be14,87.5
a3ee53c822,75.0
a46b4ebe4b,77.5
a63cb222e7,82.5
a8422685c4,82.5
a85955f275,85.0
ab14523f05,77.5
acf57ca338,82.5
b0aeb43805,82.5
b0da040b7a,92.5
b2fc52dcde,92.5
b399a94adb,88.57142857142858
b7dfc166af,72.5
b824004819,92.5
b844ec1717,80.0
bb187aebda,95.0
bb948748fd,65.0
bc58d273ed,65.71428571428571
bcacb2501b,75.0
be5929f522,90.0
c10f696139,77.5
c14c622a10,85.71428571428571
c4021b61d3,85.0
c61dd916ce,72.5
c818263d6c,80.0
cc78f6559b,85.0
ccb9fb0a88,75.0
cd7082f8f9,75.0
d026cd023c,65.0
d02c57b9da,75.0
d0d9ca0782,87.5
d11b6343a3,90.0
d11bbfdbfc,80.0
d1adc1c909,82.5
d1cf1d8445,77.5
d41f369231,50.0
d57b27947c,82.5
d5d23f57f0,90.0
d6268d5df4,85.0
d98e4b7b05,77.5
dbd4311d72,87.5
dedf09c53d,67.5
e1cc684142,65.0
e1f7bf7a0b,72.5
e70aadfdbb,87.5
e7e02791d3,85.0
e8e00c6c04,80.0
ebd1b0316c,72.5
ee09d8c159,75.0
f1708f5ad5,75.0
f191c7dfa2,75.0
f33e7f800e,82.5
f3ad622b31,77.5
f7a9d4e9eb,94.28571428571429
fa3adc8930,82.85714285714286
feb9aa8b1b,75.0
fee5f2caee,85.0
ffdf9bcecd,82.5
